id	subject	grade	unit	question	answer	image_id
ri-phys-001	rika	1	物理	表1について、光が空気や水などの物質中をまっすぐに進む性質を、光の( )という。	直進	rika_g1_phys
ri-phys-002	rika	1	物理	表1について、光の進む方向が物質の境界面で変わることを、光の( )という。	反射	rika_g1_phys
ri-phys-003	rika	1	物理	表1について、入射角をある角度以上にしたとき,光が境界面で すべて反射する現象を、( )という。	全反射	rika_g1_phys
ri-phys-004	rika	1	物理	表1について、自ら光を出さない物体があらゆる方向から見えるのは、光源から出た光が物体の表面で( )して目に届くからである。	乱反射	rika_g1_phys
ri-phys-005	rika	1	物理	表2について、光が集まってできたものではないが、凸レンズを通して見える像を( )という。	虚像	rika_g1_phys
ri-phys-006	rika	1	物理	表3について、モノコードの弦をはじいて音を出すとき、弦の太さを( )するほど、振動数が多くなって高い音になる。	細く	rika_g1_phys
ri-phys-007	rika	1	物理	表3について、音が1秒間に振動する回数を表したものを振動数といい、単位は( )である。	Hz (ヘルツ)	rika_g1_phys
ri-phys-008	rika	1	物理	表4について、離れている物体どうしの間でもはたらく力は、磁力と電気力と( )である。	重力	rika_g1_phys
ri-phys-009	rika	1	物理	表5について、0.2Nの力を加えるとばねののびが0.5cmとなるとき、そのばねを1Nの力で引くと、ばねののびは( )cmとなる。	2.5	rika_g1_phys
ri-phys-010	rika	1	物理	表6について、質量50gの物体にはたらく重力とつり合っている垂直抗力の大きさは( )Nである。	0.5	rika_g1_phys
ri-phys-011	rika	2	物理	表1について、2種類の抵抗を直列や並列につなぐとき、電源電圧が同じなら、( )につなぐほうが回路全体の電流は大きい。	並列	rika_g2_phys
ri-phys-012	rika	2	物理	表1について、60Wと40Wの電球を並列につないで電源を入れたとき、大きい電流が流れるのは( )Wの電球である。	60	rika_g2_phys
ri-phys-013	rika	2	物理	表1について、電流が流れる道すじが1本の道になっている回路を( )回路という。	直列	rika_g2_phys
ri-phys-014	rika	2	物理	表2について、4.0Vの電圧を加えたときに0.4Aの電流が流れる電熱線の抵抗の大きさは( )Ωである。	10	rika_g2_phys
ri-phys-015	rika	2	物理	表2について、抵抗が10Ωの電熱線に50Vの電圧を加えたとき,電熱線に流れる電流の大きさは( )Aである。	5	rika_g2_phys
ri-phys-016	rika	2	物理	表3について、100V-500Wの表示があるアイロンを100Vのコンセントにつないだとき、( )Aの電流が流れる。	5	rika_g2_phys
ri-phys-017	rika	2	物理	表4について、電熱線に電圧を加えて電流を流したときに発生する熱の量を( )という。	熱量	rika_g2_phys
ri-phys-018	rika	2	物理	表4について,6Wと18Wの電熱線を同じ電圧で10分間ずつ使用したとき、発生する熱量は( )Wの電熱線のほうが多い。	18	rika_g2_phys
ri-phys-019	rika	2	物理	表5について、抵抗が40Ωの電熱線に6Vの電圧を加えて5分間電流を流すと、( )Jの電力量を消費する。	270	rika_g2_phys
ri-phys-020	rika	2	物理	表5について、消費電力1000Wのエアコンを1時間使ったときの電力量は( )Jである。	3600000	rika_g2_phys
ri-phys-021	rika	2	物理	表6について、棒磁石のまわりに方位磁針を置くと磁針の向きが変わった。このとき、磁針には( )がはたらいている。	磁界 (磁力)	rika_g2_phys
ri-phys-022	rika	3	物理	表1について、空気中ではたらく重力が6.0Nの物体を水中に入れると2.4Nであった。物体にはたらく浮力は( )Nである。	3.6	rika_g3_phys
ri-phys-023	rika	3	物理	表2について、ある物体が10秒間で100m進んだときの速さは( )m/sである。	10	rika_g3_phys
ri-phys-024	rika	3	物理	表2について、ある物体が40m/sの速さで12秒間進んだとき,進んだ距離は( )mである。	480	rika_g3_phys
ri-phys-025	rika	3	物理	表3について,60km離れた家に、平均の速さが40km/hの自動車で帰るとき、家に着くまでに( )時間かかる。	1.5	rika_g3_phys
ri-phys-026	rika	3	物理	表4について、質量200gの物体を垂直に5m引き上げたときの仕事の大きさは( )Jである。	10	rika_g3_phys
ri-phys-027	rika	3	物理	表4について、動滑車を用いて、質量200gの物体を垂直に5m引き上げたときの仕事の大きさは( )Jである。	10	rika_g3_phys
ri-phys-028	rika	3	物理	表4について、ある仕事をするのに道具を用いても用いなくても仕事の大きさは変わらない。このことを( )という。	仕事の原理	rika_g3_phys
ri-phys-029	rika	3	物理	表5について、ある物体を5Nの力で力の向きに8m移動させるのに40秒かかった。このときの仕事率は( )Wである。	1.0	rika_g3_phys
ri-phys-030	rika	3	物理	表5について、物体に20Nの力を加えて力の向きに2m移動させたとき、かかった時間が短いほど、仕事率は( )なる。	大きく	rika_g3_phys
ri-phys-031	rika	3	物理	表6について、高い位置にある物体がもっているエネルギーを( )という。	位置エネルギー	rika_g3_phys
ri-phys-032	rika	3	物理	表6について、力学的エネルギーが常に一定に保たれていることを( )という。	力学的エネルギーの保存の法則	rika_g3_phys