id	subject	unit	daimon	question	answer	image_id
so-jgeo-001	social	日本地理	17	〈地図記号〉①~⑤の地図記号が示す土地利用や施設などを答えなさい。	①田 ②畑 ③果樹園 ④桑畑 ⑤茶畑	so_jgeo_map_17
so-jgeo-002	social	日本地理	17	〈地図記号〉⑥~⑩の地図記号が示す土地利用や施設などを答えなさい。	⑥広葉樹林 ⑦針葉樹林 ⑧工場 ⑨発電所 ⑩灯台	so_jgeo_map_17
so-jgeo-003	social	日本地理	17	〈地図記号〉⑪~⑮の地図記号が示す土地利用や施設などを答えなさい。	⑪小・中学校 ⑫高等学校 ⑬図書館 ⑭博物館 ⑮老人ホーム	so_jgeo_map_17
so-jgeo-004	social	日本地理	18	〈地形図の読解〉(1) この等高線(主曲線)は、①[ ]mごとに引かれている。この地形図の縮尺は②[ ]分の1である。	①10 ②25000	so_jgeo_map_18
so-jgeo-005	social	日本地理	18	〈地形図の読解〉(2) 「地蔵堂」集落の神社から「釈迦堂遺跡博物館」まで、地図上の直線距離で約4cmある。実際の距離は、約[ ]mである。	1000	so_jgeo_map_18
so-jgeo-006	social	日本地理	18	〈地形図の読解〉(3) 「千米寺」集落からみて「蜂城山」は、[ ]の方位に位置している。	南東	so_jgeo_map_18
so-jgeo-007	social	日本地理	18	〈地形図の読解〉(4) この地形図でみられる地形は、[ ]と呼ばれる。	扇状地	so_jgeo_map_18
so-jgeo-008	social	日本地理	18	〈地形図の読解〉(5) この地形図で最もよくみられる土地利用は[ ]である。	果樹園	so_jgeo_map_18
so-jgeo-009	social	日本地理	19	〈日本の姿〉(1) 寒流のAを①[ ]、暖流のBを②[ ]といい、これらがぶつかる太平洋沖は③[ ]と呼ばれる。Cの三陸海岸南部や志摩半島にみられる複雑な海岸を④[ ]という。	①親潮(千島海流) ②黒潮(日本海流) ③潮目(潮境) ④リアス海岸	so_jgeo_map_19
so-jgeo-010	social	日本地理	19	〈日本の姿〉(2) Dの飛騨山脈、木曽山脈、①[ ]山脈をまとめて②[ ]と呼ぶ。Dの東側を南北にはしる③[ ]を境に、地形を東西に分ける。	①赤石山脈 ②日本アルプス ③フォッサマグナ	so_jgeo_map_19
so-jgeo-011	social	日本地理	20	〈日本の気候〉(1) Aは南西諸島の①[ ]、Bは太平洋側の②[ ]、Cは日本海側の③[ ]の都市の雨温図である。	①那覇 ②高松 ③秋田	so_jgeo_map_20
so-jgeo-012	social	日本地理	20	〈日本の気候〉(2) Dは北海道の①[ ]、Eは中央高地(内陸)の②[ ]、Fは瀬戸内の③[ ]の都市の雨温図である。	①札幌 ②松本 ③浜松	so_jgeo_map_20
so-jgeo-013	social	日本地理	21	〈政令指定都市,新幹線〉(1) 図Ⅰの①~⑩にあてはまる政令指定都市名を答えなさい。	①さいたま ②千葉 ③川崎 ④静岡 ⑤堺 ⑥神戸 ⑦仙台 ⑧広島 ⑨福岡 ⑩北九州	so_jgeo_map_21
so-jgeo-014	social	日本地理	21	〈政令指定都市,新幹線〉(2) 図Ⅱの新幹線の路線図。Aは[ ]新幹線、Bは[ ]新幹線、Cは[ ]新幹線、Dは[ ]新幹線である。	A:東海道 B:上越 C:東北 D:九州	so_jgeo_map_21
so-jgeo-015	social	日本地理	22	〈世界の鉱産資源〉①~④にあてはまる鉱産資源を語群から選びなさい。	①石炭 ②鉄鉱石 ③原油 ④銅鉱	so_jgeo_map_22
so-jgeo-016	social	日本地理	23	〈日本の工業地帯と工業地域〉①~⑧にあてはまる工業地帯や工業地域の名称を答えなさい。	①阪神工業地帯 ②中京工業地帯 ③北陸工業地域 ④瀬戸内工業地域 ⑤東海工業地域 ⑥京葉工業地域 ⑦北関東工業地域 ⑧京浜工業地帯	so_jgeo_map_23
so-jgeo-017	social	日本地理	24	〈日本の農産物〉①~⑩のグラフにあてはまる農産物を語群から選びなさい。	①米 ②茶 ③キャベツ ④レタス ⑤じゃがいも ⑥さつまいも ⑦みかん ⑧りんご ⑨日本なし ⑩ぶどう	so_jgeo_map_24
so-jgeo-018	social	日本地理	25	〈世界の農産物〉①~⑥のグラフにあてはまる農産物を語群から選びなさい。	①小麦 ②とうもろこし ③大豆 ④茶 ⑤コーヒー豆 ⑥カカオ豆	
so-jgeo-019	social	日本地理	26	〈日本の貿易〉1975年と2020年の日本の輸入額と輸出額の品目別割合。①~④にあてはまる品目名を語群から選びなさい。	①石油 ②機械類 ③繊維品 ④自動車	so_jgeo_map_26
so-jgeo-020	social	日本地理	27	〈おもな輸入品の輸入先〉わが国における輸入品の輸入額の相手国(地域)別割合。①~⑥にあてはまる品目を語群から選びなさい。	①石炭 ②鉄鉱石 ③天然ガス ④衣類 ⑤医薬品 ⑥肉類	so_jgeo_map_27